provider,provider_id,season,match_date,source_date,competition,home_team,away_team,home_score,away_score,result_note,source_url
FOTMOB,2854576,2018/2019,2018-10-28,2018-10-28,阿塞超,Sabail,Shamakhi FK,2,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854577,2018/2019,2018-10-28,2018-10-28,阿塞超,FK Neftchi,Qarabag FK,3,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854536,2018/2019,2018-10-31,2018-10-31,阿塞超,Shamakhi FK,Qarabag FK,1,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854578,2018/2019,2018-11-03,2018-11-03,阿塞超,Qarabag FK,Sumqayit,2,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854579,2018/2019,2018-11-03,2018-11-03,阿塞超,Shamakhi FK,FK Neftchi,0,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854580,2018/2019,2018-11-04,2018-11-04,阿塞超,FK Qabala,Sabah FK,2,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854581,2018/2019,2018-11-04,2018-11-04,阿塞超,Zira,Sabail,0,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854582,2018/2019,2018-11-10,2018-11-10,阿塞超,Sabah FK,Sabail,0,4,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854583,2018/2019,2018-11-10,2018-11-10,阿塞超,FK Neftchi,Zira,2,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854584,2018/2019,2018-11-11,2018-11-11,阿塞超,Sumqayit,Shamakhi FK,1,4,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854585,2018/2019,2018-11-11,2018-11-11,阿塞超,FK Qabala,Qarabag FK,1,3,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854572,2018/2019,2018-11-24,2018-11-24,阿塞超,Shamakhi FK,FK Qabala,1,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854586,2018/2019,2018-11-24,2018-11-24,阿塞超,Qarabag FK,Sabah FK,1,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854557,2018/2019,2018-11-25,2018-11-25,阿塞超,Sabail,FK Neftchi,0,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854571,2018/2019,2018-11-25,2018-11-25,阿塞超,Zira,Sumqayit,3,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854558,2018/2019,2018-12-01,2018-12-01,阿塞超,Sabah FK,FK Neftchi,1,2,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854559,2018/2019,2018-12-01,2018-12-01,阿塞超,Sumqayit,Sabail,1,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854560,2018/2019,2018-12-03,2018-12-03,阿塞超,FK Qabala,Zira,0,0,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FOTMOB,2854561,2018/2019,2018-12-03,2018-12-03,阿塞超,Qarabag FK,Shamakhi FK,5,1,FT,https://www.fotmob.com/api/data/leagues?id=262&ccode3=CHN&season=2018%2F2019
FUTBOL24,25B1D4F35FE7E418,2018-2019,2018-12-06,2018-12-06,阿塞杯,Kapaz PFK,Sabail FK,0,4,FT,https://www.futbol24.com/match/2018/12/06/national/Azerbaijan/Kubok/2018-2019/Round-1/Kapaz-PFK/vs/Sabail-FK
FUTBOL24,43B9BA89DBDD22CD,2018-2019,2018-12-06,2018-12-06,阿塞杯,AGSU FK,Sabah FK,0,3,FT,https://www.futbol24.com/match/2018/12/06/national/Azerbaijan/Kubok/2018-2019/Round-1/AGSU-FK/vs/Sabah-FK
FUTBOL24,97ECB83AD25B46A6,2018-2019,2018-12-06,2018-12-06,阿塞杯,Suvelan FK,Keshla FK,0,3,FT,https://www.futbol24.com/match/2018/12/06/national/Azerbaijan/Kubok/2018-2019/Round-1/Suvelan-FK/vs/Keshla-FK
